hand,ranking
2S 3C 4S 5H 6S,Straight
7C 8S 9D TS JS,Straight
TS JH QS KH AS,Straight
2C 3C 4D 5C 6C,Straight
7C 8S 9S TC JC,Straight
TC JH QC KD AC,Straight
2H 3D 4H 5S 6H,Straight
7H 8C 9S TD JH,Straight
TH JH QC KS AH,Straight
2D 3S 4H 5D 6D,Straight
7D 8S 9D TD JD,Straight
TD JH QD KD AD,Straight
2S 4S 3C 5C 6C,Straight
7S TS 8S 9C JD,Straight
TS QS JS KH AS,Straight
2C 4C 5C 6D 3C,Straight
TC 7C 8C 9H JC,Straight
TC QC JC KS AC,Straight
2H 4H 5H 6C 3H,Straight
7H 9H TH JD 8H,Straight
TH QH KH AS JH,Straight
2D 5D 3D 4C 6D,Straight
7D 9D TD JH 8D,Straight
TD JD KD AS QD,Straight
